name,id,team,position,timeOnIce,gamePlayed,goals,assists,specialTeams,shots,hits,blocked,evenTimeOnIce,powerPlayTimeOnIce,shortHandedTimeOnIce,fantasyPoints,FPP60,FPPG,gamesRemain,fantasyPace,last3FPPG
Matt Duchene,ID8475168,DAL,C,7300,7,1,2,0,16,3,5,6281,816,203,8.4,4.14,1.2,75,98.0,2.0
Nick Leddy,ID8475181,STL,D,8720,7,1,0,0,7,2,11,7876,24,820,8.4,3.47,1.2,75,98.0,1.05
Lars Eller,ID8474189,PIT,C,7751,9,1,3,0,24,3,6,6358,50,1343,10.7,4.97,1.19,73,96.86999999999999,1.05
Jesse Ylönen,ID8481058,MTL,RW,5156,7,1,0,0,6,2,11,3558,60,1538,8.3,5.8,1.19,73,94.86999999999999,1.06
Michael Amadio,ID8478020,VGK,RW,6907,10,2,3,1,12,2,6,6782,112,13,11.9,6.2,1.19,72,96.67999999999999,1.0
Evgenii Dadonov,ID8474149,DAL,RW,6311,7,2,1,0,8,5,4,5838,473,0,8.3,4.73,1.19,75,97.25,1.21
Nils Hoglander,ID8481535,VAN,LW,4243,7,2,2,0,7,6,2,4036,207,0,8.3,7.04,1.19,74,96.06,0.91
Torey Krug,ID8476792,STL,D,9152,7,0,0,0,9,4,14,6968,1418,766,8.3,3.26,1.19,75,97.25,1.71
Brenden Dillon,ID8475455,WPG,D,10182,9,0,0,0,9,22,15,8450,24,1708,10.6,3.75,1.18,73,96.14,1.32
Rasmus Sandin,ID8480873,WSH,D,10600,8,0,0,0,10,9,15,9982,485,133,9.4,3.19,1.18,74,96.32,1.37
Tyler Johnson,ID8474870,CHI,C,8077,9,3,0,1,15,6,4,6571,1369,137,10.6,4.72,1.18,73,96.14,1.21
Tyson Barrie,ID8475197,NSH,D,9461,8,0,4,1,11,3,7,7541,1876,44,9.4,3.58,1.18,74,96.32,1.65
JJ Peterka,ID8482175,BUF,RW,7302,9,4,0,0,20,0,1,6333,962,7,10.5,5.18,1.17,73,95.41,0.88
Thomas Bordeleau,ID8482133,SJS,C,4722,6,1,1,1,7,3,5,3974,748,0,7.0,5.34,1.17,73,92.41,0.95
Adam Ruzicka,ID8480008,CGY,C,5658,7,2,2,2,7,0,1,4770,888,0,8.200000000000001,5.22,1.17,73,93.41,0.95
Evgeny Kuznetsov,ID8475744,WSH,C,10510,8,1,4,2,22,1,0,7696,1886,928,9.3,3.19,1.16,74,94.83999999999999,1.65
Lawson Crouse,ID8478474,ARI,LW,6454,7,0,2,1,9,12,7,4911,882,661,8.1,4.52,1.16,74,93.83999999999999,1.69
Trevor Zegras,ID8481533,ANA,C,9850,9,1,1,1,27,2,8,8072,1771,7,10.4,3.8,1.16,73,94.67999999999999,1.66
Blake Lizotte,ID8481481,LAK,C,4992,8,2,3,1,8,5,1,3903,91,998,9.3,6.71,1.16,74,94.83999999999999,0.96
Akito Hirose,ID8484254,VAN,D,1513,2,0,0,0,0,3,4,1320,147,46,2.3,5.47,1.15,74,87.1,1.14
Vincent Desharnais,ID8479576,EDM,D,4722,6,1,0,0,2,6,8,3678,0,1044,6.8,5.18,1.13,74,89.61999999999999,1.01
Dmitry Orlov,ID8475200,CAR,D,10760,10,0,4,2,13,15,7,8923,1426,411,11.3,3.78,1.13,72,92.35999999999999,1.63
Philipp Kurashev,ID8480798,CHI,C,3355,3,1,0,1,3,1,1,2826,294,235,3.4000000000000004,3.65,1.13,73,85.49,0.91
Noah Juulsen,ID8478454,VAN,D,2238,3,0,1,0,1,8,3,1899,45,294,3.4000000000000004,5.47,1.13,74,86.61999999999999,1.14
Nikolaj Ehlers,ID8477940,WPG,LW,8422,9,2,2,1,28,4,1,6611,1811,0,10.2,4.36,1.13,73,92.49,1.87
MacKenzie Entwistle,ID8480025,CHI,RW,2452,4,1,0,0,4,11,2,2260,14,178,4.5,6.61,1.12,73,85.76,0.76
Ryan Donato,ID8477987,CHI,C,9092,9,2,2,0,22,9,2,7173,1908,11,10.1,4.0,1.12,73,91.76,1.01
